Estacao;Latitude;Longitude
2041046;-20,93;-41,86
2041141;-20,85;-41,74
2042027;-20,96;-42,05
2141001;-21,48;-41,10
2141002;-21,75;-41,30
2141003;-21,48;-41,61
2141004;-21,20;-41,89
2141005;-21,64;-41,75
2141006;-21,64;-41,85
2141007;-21,62;-41,98
2141099;-21,77;-41,93
2141100;-21,73;-41,98
2142014;-21,87;-42,64
2142022;-21,95;-42,35
2142058;-21,54;-42,18
2142067;-21,54;-42,18
2142158;-21,66;-42,08
2142161;-21,62;-42,10
2241001;-22,04;-41,05
2241002;-22,10;-41,47
2241003;-22,08;-41,73
2241004;-22,25;-41,98
2242001;-22,04;-42,04
2242002;-22,18;-42,16
2242003;-22,40;-42,33
2242004;-22,36;-42,38
2242005;-22,39;-42,49
2242006;-22,47;-42,08
2242007;-22,46;-42,30
2242008;-22,54;-42,54
2242009;-22,34;-42,62
2242010;-22,90;-42,73
2242011;-22,68;-42,94
2242012;-22,49;-42,90
2242013;-22,43;-42,76
2242014;-22,55;-42,69
2242016;-22,44;-42,62
2242017;-22,06;-42,16
2242018;-22,23;-42,28
2242019;-22,29;-42,40
2242020;-22,27;-42,50
2242021;-22,15;-42,41
2242022;-22,28;-42,66
2242024;-22,37;-42,55
2242025;-22,34;-42,55
2242026;-22,27;-42,79
2242027;-22,20;-42,90
2242028;-22,03;-42,99
2242029;-22,05;-42,67
2242033;-22,13;-42,35
2242122;-22,27;-42,86
2242123;-22,27;-42,92
2242437;-22,02;-42,13
2243002;-22,45;-43,80
2243003;-22,14;-43,29
2243004;-22,28;-43,92
2243005;-22,21;-43,70
2243006;-22,15;-43,75
2243007;-22,20;-43,62
2243008;-22,08;-43,55
2243010;-22,48;-43,14
2243011;-22,43;-43,17
2243012;-22,33;-43,13
2243013;-22,24;-43,09
2243014;-22,29;-43,17
2243015;-22,14;-43,15
2243016;-22,19;-43,00
2243159;-22,49;-43,93
2243250;-22,90;-43,86
2243268;-22,30;-43,22
2243285;-22,46;-43,09
2243286;-22,40;-43,13
2243287;-22,51;-43,21
2243288;-22,51;-43,16
2243289;-22,48;-43,17
2243290;-22,45;-43,10
2243291;-22,46;-43,10
2243301;-22,46;-43,09
2243302;-22,47;-43,25
2244030;-22,50;-44,61
2244033;-22,23;-44,06
2244034;-22,30;-44,18
2244037;-22,29;-44,31
2244038;-22,27;-44,39
2244039;-22,33;-44,59
2244041;-22,50;-44,09
2244043;-22,58;-44,26
2244044;-22,47;-44,22
2244045;-22,38;-44,10
2244047;-22,33;-44,53
2244049;-22,38;-44,16
2244148;-22,96;-44,03
2244149;-22,93;-44,39
2344006;-23,31;-44,72
2344007;-23,22;-44,76
2344008;-23,07;-44,69
2344016;-23,02;-44,51
2344019;-23,00;-44,53
